Name,daily total trading volume,Prices,Volume,Ecology,Hyperlink,Project Description,Official Hyperlink List,Details,Founded Date,Funders,Related News Links,Twitter Hyperlink,Followers,Following,Significant Events,Similar Projects,AIScore,Explains
dYdXDYDX,,13.499,9706449.23,,https://www.rootdata.com/Projects/detail/Kaspa?k=NjAzOQ%3D%3D,Decentralized & fully scalable Layer-1 based on the GHOSTDAG protocol,"https://kaspa.org/, https://x.com/KaspaCurrency, https://www.linkedin.com/company/kaspa-currency/, https://t.me/kaspaenglish, https://github.com/kaspanet/kaspad, https://coinmarketcap.com/currencies/kaspa/","Kaspa is a decentralized and fully scalable Layer-1 based on the GHOSTDAG protocol. Unlike traditional blockchains, GHOSTDAG does not orphan blocks created in parallel; instead, it allows them to coexist and orders them in consensus. The Kaspa blockchain is, in fact, a blockDAG.",2021,,"https://cointelegraph.com/news/marathon-digital-mine-16m-kaspa-tokens-diversify-bitcoin, https://ld-capital.medium.com/ld-research-report-kaspa-a-pow-public-chain-based-on-the-ghostdag-protocol-708867fb1a25?source=rss-53c5cb826534------2, https://learn.bybit.com/altcoins/what-is-kaspa-kas-coin/, https://hackernoon.com/the-power-of-kaspa-blockdags-go-beyond-the-blockchain, https://medium.com/coinmonks/what-is-kaspa-coin-kas-simplified-3c56b864b6e4",https://x.com/KaspaCurrency,206.26 K,175,"Nov 07, 2021 - Kaspa was live on mainnet","#Nervos Network, #Alephium, #Kadena, #COTI, #Quai Network, #Callisto Network, #Grape, #Vite",0.426398,"{'feat0': {'feat': 'CDLSPINNINGTOP', 'data': [-1.0]}, 'feat1': {'feat': 'zsVol', 'data': [0.3919789837077522]}, 'feat2': {'feat': 'Hourly', 'data': [0.0]}, 'feat3': {'feat': 'PR_MA_Ratio_short', 'data': [0.0167782438401189]}, 'feat4': {'feat': 'Z_score', 'data': [-0.4707129808511444]}, 'feat5': {'feat': 'ULTOSC', 'data': [0.499067854931114]}, 'feat6': {'feat': 'MA_Ratio', 'data': [-0.0835269298223231]}, 'feat7': {'feat': 'PR_MA_Ratio', 'data': [-0.0331920747265545]}, 'feat8': {'feat': 'boll', 'data': [0.4923267383141622]}, 'feat9': {'feat': 'RSI', 'data': [0.4888654689851]}}"
MultiversXEGLD,,23.64,230806.885,,https://www.rootdata.com/Projects/detail/Monero?k=NDQ%3D,Privacy-oriented cryptocurrency,"https://www.getmonero.org/, https://x.com/monero, https://telegram.me/monero, https://github.com/monero-project/monero, https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf, https://coinmarketcap.com/currencies/monero/, https://forum.getmonero.org/","Monero is an open-source, privacy-oriented cryptocurrency that was launched in 2014. Its blockchain is intentionally configured to be opaque, making transaction details such as the identity of senders and recipients and the amount of each transaction anonymous by disguising the addresses used by participants.",2014,Riccardo Spagni,"https://decrypt.co/215981/monero-binance-delists-xmr, https://cointelegraph.com/news/monero-community-lashes-out-against-mordinals-amid-privacy-concerns, https://www.coindesk.com/tech/2022/08/13/moneros-privacy-focused-crypto-protocol-upgrade-is-now-live, https://cointelegraph.com/news/monero-community-reaches-consensus-for-july-hard-fork, https://www.gemini.com/cryptopedia/monero-coin-xmr-crypto-privacy, https://www.coindesk.com/markets/2019/12/18/moneros-fluffypony-steps-down-as-lead-maintainer-of-privacy-coin-project/, https://www.coindesk.com/markets/2018/10/17/monero-to-become-first-billion-dollar-crypto-to-implement-bulletproofs-tech/",,489.91 K,22,,"#Zcash, #Firo, #Bitcoin, #Litecoin, #MobileCoin, #Bitcoin Cash, #Bitcoin SV, #Verge",0.7204873,"{'feat0': {'feat': 'Hourly', 'data': [0.0]}, 'feat1': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat2': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat3': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat4': {'feat': 'MA_Ratio', 'data': [0.0013835604873839]}, 'feat5': {'feat': 'CDLRISEFALL3METHODS', 'data': [0.0]}, 'feat6': {'feat': 'Month', 'data': [12.0]}, 'feat7': {'feat': 'MA_Ratio_short', 'data': [0.0004966799166589]}, 'feat8': {'feat': 'zsVol', 'data': [-0.7348753521277925]}, 'feat9': {'feat': 'PR_MA_Ratio_short', 'data': [0.0258916629514144]}}"
EthenaENA,44434.5,,,,https://www.rootdata.com/Projects/detail/Ethereum%20Classic?k=NzI%3D,Layer-one blockchain,"https://ethereumclassic.org/, https://twitter.com/eth_classic, https://telegram.me/ethclassic, https://github.com/ethereumclassic, https://coinmarketcap.com/currencies/ethereum-classic/","Ethereum Classic is an open-source, decentralized, blockchain-based distributed cryptocurrency platform that runs smart contracts. It was originally known as Ethereum. After The DAO hack in 2016, the Ethereum blockchain split into two separate networks: the newer one inherited the name Ethereum and uses ETH or ether as its cryptocurrency, while the older one, known as Ethereum Classic, uses ETC.",2016,,"https://www.theblock.co/post/170293/ethereum-classics-hash-rate-soars-280-in-a-single-day?utm_source=feedly&utm_medium=rss, https://www.theblock.co/post/167794/ethereum-classic-hits-all-time-high-hash-rate-ahead-of-the-merge, https://wublockchain.medium.com/can-etc-take-on-ethereums-ecosystem-after-merging-79a08fd9d4e4, https://medium.com/multichainorg/multichain-integrates-with-ethereum-classic-efc56c0c4ed2?source=rss----662166f7809d---4, https://www.gemini.com/cryptopedia/ethereum-classic-etc-vs-eth",https://twitter.com/eth_classic,20.39 K,1,,"#Nervos Network, #Kadena, #Quai Network, #Callisto Network, #Starcoin, #Nexa, #EthereumPoW, #EthereumFair",,
EOSEOS,,11.9368,350615.82,,https://www.rootdata.com/Projects/detail/Stellar?k=Mjg%3D,Open network for storing and moving money,"https://www.stellar.org/, https://x.com/StellarOrg, https://github.com/stellar/stellar-core, https://www.stellar.org/papers/stellar-consensus-protocol.pdf, https://coinmarketcap.com/currencies/stellar/","Stellar is an open network for storing and transferring money. It enables the creation, sending, and trading of digital forms of any currency: dollars, pesos, bitcoin, and more. It is designed so that all of the world's financial systems can work together on one network.",2014,"Jed McCaleb, David Mazières, Joyce Kim, Skrmiish, Afriex",,https://x.com/StellarOrg,766.73 K,557,,"#Ethereum, #Solana, #Conflux, #Aleo, #Anoma Network, #PlatON, #Concordium, #NYM",0.62367463,"{'feat0': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat1': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat2': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat3': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat4': {'feat': 'CDLPIERCING', 'data': [0.0]}, 'feat5': {'feat': 'Month', 'data': [12.0]}, 'feat6': {'feat': 'RSI', 'data': [0.614811847055665]}, 'feat7': {'feat': 'Z_score', 'data': [-0.7222959530049531]}, 'feat8': {'feat': 'Hourly', 'data': [0.0]}, 'feat9': {'feat': 'boll', 'data': [0.3974621129554221]}}"
Ethereum ClassicETC,,15.23,71266.24,"Ethereum, Polygon, Solana",https://www.rootdata.com/Projects/detail/Render?k=ODY%3D,Rendering solution provider based on decentralized GPU,"https://rendernetwork.com/, https://x.com/rendernetwork, https://t.me/RenderTokenOfficial, https://know.rendertoken.com/, https://medium.com/render-token, https://coinmarketcap.com/currencies/render/","The Render Network provides decentralized GPU-based rendering solutions designed to connect users who require render jobs with people who have idle GPUs to process them. Owners connect their GPUs to the Render Network to receive and complete rendering jobs using OctaneRender. Users send RNDR to the individual performing the render work, and OTOY receives a small percentage of RNDR for facilitating the transaction and running the Render Network.",2016,"Jules Urbach, Trevor Harries, Kalin Stoyanchev, Multicoin Capital, NGC Ventures, Sfermion, Solana Ventures, Alameda Research, Vinny Lingham, Bill Lee","https://www.coingecko.com/learn/what-is-render-network-rndr-crypto, https://thedefiant.io/render-is-switching-to-solana-after-10x-ing-this-year, https://globalcoinresearch.com/2023/04/26/render-network-scaling-rendering-for-the-future/, https://messari.io/article/rendering-the-last-frontier?referrer=asset:render-token, https://decrypt.co/88871/beeple-backed-render-network-raises-30m-from-solana-alameda-more, https://medium.com/render-token/render-network-announces-key-integration-with-solana-metaplex-65dbd9f93e8b",https://x.com/rendernetwork,192.87 K,285,"Dec 21, 2021 - Render raised $ 30 M in strategic financing | Jan 01, 2018 - Render raised $ 1.16 M through ICO","#Phala Network, #Aethir, #io.net, #Grass, #iExec, #Gensyn, #Kuzco, #Apus Network",0.7123872,"{'feat0': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat1': {'feat': 'CDLHANGINGMAN', 'data': [0.0]}, 'feat2': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat3': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat4': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat5': {'feat': 'Hourly', 'data': [0.0]}, 'feat6': {'feat': 'ULTOSC', 'data': [0.5476243792348697]}, 'feat7': {'feat': 'Z_score', 'data': [-0.7789005760470862]}, 'feat8': {'feat': 'RSI', 'data': [0.565039178420614]}, 'feat9': {'feat': 'boll', 'data': [0.5149170678858774]}}"
Ethereum Follow Protocol,44434.5,307.96,1561.95305,Ethereum,https://www.rootdata.com/Projects/detail/Polygon%20Zero?k=NTY2Ng%3D%3D,Layer-2 Optimistic rollup platform,"https://polygon.technology/solutions/polygon-zero, https://x.com/0xpolygonzero","Polygon Zero uses Plonky2's speed to enable a more scalable and decentralized ZK Layer 2. It offers both Rollup and Validium modes, giving users access to higher throughput and lower fees. The original name of Polygon Zero was Mir Protocol, which was renamed after being acquired by Polygon.",Mir Protocol,"Sandeep Nailwal, Daniel Lubarov, Brendan Farmer, Polygon, Polygon",,https://x.com/0xpolygonzero,13.29 K,353,"Dec 09, 2021 - Polygon Zero was acquired by Polygon","#Aztec Network, #zkSync, #Scroll, #Manta Network, #Morph, #DeGate, #Orbiter Finance, #Linea",0.6281511,"{'feat0': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat1': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat2': {'feat': 'zsVol', 'data': [-0.2347577863169918]}, 'feat3': {'feat': 'DayOfWeek', 'data': [3.0]}, 'feat4': {'feat': 'MA_Ratio', 'data': [0.0046645219458777]}, 'feat5': {'feat': 'Month', 'data': [12.0]}, 'feat6': {'feat': 'MA_Ratio_short', 'data': [0.0117249147222639]}, 'feat7': {'feat': 'pct_change', 'data': [-0.0049750475101587]}, 'feat8': {'feat': 'Z_score', 'data': [-0.6237190305136764]}, 'feat9': {'feat': 'Hourly', 'data': [0.0]}}"
Fetch.aiFET,,0.3827,88626075.33,Bitcoin,https://www.rootdata.com/Projects/detail/Stacks?k=MTM%3D,Bitcoin L2,"https://www.stacks.co/, https://x.com/Stacks, https://www.linkedin.com/company/stacks-stx/, https://t.me/StacksChat, https://github.com/blockstack, https://docs.stacks.co/, https://blog.stacks.co/, https://coinmarketcap.com/currencies/stacks/, https://forum.stacks.org/","Stacks is a Bitcoin L2, bringing smart contract functionality to Bitcoin, without modifying Bitcoin itself. Stacks takes a pyramid approach, where you have the foundational settlement layer at the bottom (Bitcoin), and then a layer on top of that to add smart contracts and programmability (Stacks), and then layers on top of that for scalability and speed (Hiro's Subnets).",Blockstack,"Muneeb Ali, Ryan Shea, Brittany Laughlin, HashKey Capital, SNZ Holding, Union Square Ventures, The Spartan Group, Arrington Capital, IOSG Ventures, Fenbushi Capital, Fabric Ventures, HTX Ventures, Placeholder, Digital Currency Group, Blockchain Capital, FBG Capital, Fundamental Labs, Foundation Capital, Winklevoss Capital, Opensea, DLC.Link, StackSwap",,https://x.com/Stacks,201.78 K,211,"Sep 10, 2019 - Stacks raised $ 23 M in Public Sale round | Jul 24, 2019 - Stacks raised $ 7.6 M in funding round | Dec 04, 2017 - Stacks raised $ 52 M through ICO | Jan 06, 2017 - Stacks raised $ 4 M in Series A round | Nov 13, 2014 - Stacks raised $ 1.33 M in Seed round","#Merlin Chain, #Nubit, #BEVM, #BOB, #Mintlayer, #Hacash.com, #Rollux, #Bitroot",0.72902316,"{'feat0': {'feat': 'CDLBELTHOLD', 'data': [0.0]}, 'feat1': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat2': {'feat': 'Hourly', 'data': [0.0]}, 'feat3': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat4': {'feat': 'CDLPIERCING', 'data': [0.0]}, 'feat5': {'feat': 'Month', 'data': [12.0]}, 'feat6': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat7': {'feat': 'CDLINVERTEDHAMMER', 'data': [0.0]}, 'feat8': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat9': {'feat': 'zsVol', 'data': [-0.4731172506340246]}}"
FilecoinFIL,,59.194,312926.48,Solana,https://www.rootdata.com/Projects/detail/Dogwifhat?k=MTA2NTU%3D,Popular memecoin,"https://dogwifcoin.org/, https://x.com/dogwifcoin, https://coinmarketcap.com/currencies/dogwifhat/",Dogwifhat is a popular memecoin.,2023,,"https://decrypt.co/221974/dogwifhat-spat-ethereum-nft-auction-tensions-dog-owners-solana-community, https://www.coindesk.com/markets/2024/03/11/dogwifhat-community-plan-to-put-the-meme-on-the-vegas-sphere/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://decrypt.co/214038/solana-meme-coin-dogwifhat-soars-30-on-bitget-listing-sol-and-bonk-see-gains, https://thedefiant.io/solana-memecoin-wif-hits-all-time-high-on-binance-listing, https://finbold.com/dogwifhat-up-350-in-a-week-which-meme-coins-could-100x-next/",https://x.com/dogwifcoin,92.01 K,1528,,"#Dogecoin, #PEPE, #Memeland, #FLOKI, #SLERF, #Wen, #Moonshot, #BorpaToken",0.38941506,"{'feat0': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat1': {'feat': 'ULTOSC', 'data': [0.5203373015873277]}, 'feat2': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat3': {'feat': 'Month', 'data': [12.0]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'Z_score', 'data': [-0.6926159828541356]}, 'feat6': {'feat': 'PR_MA_Ratio', 'data': [0.0056943423952788]}, 'feat7': {'feat': 'PR_MA_Ratio_short', 'data': [0.0107692307691833]}, 'feat8': {'feat': 'RSI', 'data': [0.5294932424343486]}, 'feat9': {'feat': 'boll', 'data': [0.4136131605556635]}}"
FLOKIFLOKI,,,,,https://www.rootdata.com/Projects/detail/OKX?k=Mzg5Nw%3D%3D,Cryptocurrency exchange,"https://okx.com/, https://x.com/okx, https://www.linkedin.com/company/okxofficial/, https://t.me/OKXOfficial_English, https://github.com/okx, https://exchainrpc.okex.org/docs/en/#overview, https://coinmarketcap.com/currencies/okb/","OKX is a cryptocurrency exchange that builds the next-gen financial ecosystem and provides spot, margin, futures, options, perpetual swaps trading, DeFi, lending, and mining services.",OKEx,"Star Xu, Hong Fang, Haider Rafique, Lennix Lai, Jason Lau, Gala Wen, Frank Zhang, Tracy Zhou, Jason Wang, Longling Capital, Ceyuan Ventures, MandraCapital, VenturesLab, Giant Interactive Group, Qian He Capital, Tim Draper, Fred Wang, Jiang Tao, Leo Wang, Cai Wensheng, BBX, OKX Chain, X Layer, OKX Ventures",,https://x.com/okx,4.1 M,279,"Nov 14, 2023 - OKX released zkEVM L2 Network X Layer | Jan 01, 2022 - OKEx changed its name to OKX | Jul 01, 2021 - OKX launched Web3 Wallet product | Dec 01, 2013 - OKX completed a Series A round | Jun 01, 2013 - OKX raised $ 1 M in Angel round","#Bullish, #Coinbase, #Blockchain.com, #Bakkt, #Binance, #KuCoin, #Kraken, #Gemini",,
Flow,,22.86,3156323.5,"Ethereum, Polygon, Avalanche",https://www.rootdata.com/Projects/detail/Aave?k=MTA2,Decentralized lending-borrowing protocol,"https://aave.com/, https://x.com/aave, https://t.me/Aavesome, https://github.com/aave, https://docs.aave.com/hub/, https://medium.com/aave, https://snapshot.org/#/aave.eth, https://coinmarketcap.com/currencies/aave/","Aave is a decentralized finance protocol for borrowing and lending, where users can participate as depositors or borrowers. Depositors provide liquidity to the market to earn a passive income, while borrowers are able to borrow in an overcollateralized (perpetually) or undercollateralized (one-block liquidity) fashion. AAVE is used as the center of gravity of Aave Protocol governance, allowing users to vote and decide on the outcome of Aave Improvement Proposals (AIPs). Additionally, AAVE can be staked within the protocol's Safety Module to provide security/insurance to the protocol and depositors. Stakers earn staking rewards and fees from the protocol.",2017,"Stani Kulechov, Emilio Frangella, Framework Ventures, ParaFi Capital, Standard Crypto, Blockchain Capital, Blockchain.com, DeFiance Capital, Ribbit Capital, DTC Capital, Three Arrows Capital, Fantom, Syndicate, Airstack, ORB, Delta Exchange, Avara",,https://x.com/aave,589.91 K,69,"Jan 27, 2023 - Aave V3 has been deployed to the Ethereum mainnet | Oct 05, 2020 - Aave raised $ 25 M | Jul 15, 2020 - Aave raised $ 3 M | Jul 09, 2020 - Aave raised $ 4.5 M | Jan 08, 2020 - Aave was live on mainnet","#Compound, #MakerDAO, #Parrot Protocol, #Abracadabra, #dForce, #Coin98 Finance, #Timeswap, #Alchemix",0.42580202,"{'feat0': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat1': {'feat': 'CDLMORNINGDOJISTAR', 'data': [0.0]}, 'feat2': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat3': {'feat': 'ULTOSC', 'data': [0.5318143459915609]}, 'feat4': {'feat': 'zsVol', 'data': [0.6915249163070935]}, 'feat5': {'feat': 'Z_score', 'data': [-0.9864961347292924]}, 'feat6': {'feat': 'PR_MA_Ratio', 'data': [-0.0067283282146012]}, 'feat7': {'feat': 'PR_MA_Ratio_short', 'data': [0.0108401084010716]}, 'feat8': {'feat': 'RSI', 'data': [0.5149413383660086]}, 'feat9': {'feat': 'boll', 'data': [0.4431025924385113]}}"
Flare NetworkFLR,,,,Ethereum,https://www.rootdata.com/Projects/detail/Arbitrum%20-%20Offchain%20Labs?k=MjczOA%3D%3D,Ethereum Layer2 scaling solution,"https://arbitrum.io/, https://x.com/arbitrum, https://www.linkedin.com/company/arbitrum/, https://medium.com/offchainlabs, https://snapshot.org/#/arbitrum-odyssey.eth, https://coinmarketcap.com/currencies/arbitrum/, https://defillama.com/chain/Arbitrum, https://link3.to/arbitrum","Arbitrum, created by the Offchain Labs team, is an Ethereum Layer2 scaling solution based on Optimistic Rollup technology. It leverages the ability to communicate between L1 and L2, allowing any form of Ethereum asset to be transferred between Layer 1 and Layer 2 without the need for trust. Even though Arbitrum transactions are still settled on Ethereum, only raw transaction data is submitted to Ethereum, with execution and contract storage occurring off-chain. This makes the gas fee required on Arbitrum much smaller than on the mainnet, and contracts are fully compatible with no gas limit.",2018,"Steven Goldfeder, Harry Kalodner, Edward Felten, Nina Rong, Patrick McCorry, Preston Van Loon, Pantera Capital, Lightspeed Venture, Coinbase Ventures, OKX Ventures, The Spartan Group, Polychain, Delphi Digital, Mechanism Capital, SNZ Holding, IOSG Ventures, Alliance DAO, HTX Ventures, Samsung Next, Blockchange Ventures, Standard Crypto, DeFiance Capital, Espresso Systems, Ingonyama, Treasure DAO, Clique, Curvance, Prysmatic Labs, idOS",,https://x.com/arbitrum,1.03 M,24,"Aug 31, 2021 - Arbitrum / Offchain Labs was live on mainnet | Aug 31, 2021 - Arbitrum / Offchain Labs raised $ 120 M in Series B round | Apr 01, 2021 - Arbitrum / Offchain Labs raised $ 20 M in Series A round | Apr 03, 2019 - Arbitrum / Offchain Labs raised $ 3.7 M in Seed round","#Eclipse, #MegaETH, #Karak, #Polygon Zero, #Optimism, #Base, #Polygon, #Aztec Network",,
FastexFTN,,,,,https://www.rootdata.com/Projects/detail/Filecoin?k=Mjk%3D,Decentralized storage network,"https://filecoin.io/, https://x.com/Filecoin, https://github.com/filecoin-project/, https://docs.filecoin.io/, https://coinmarketcap.com/currencies/filecoin/",Filecoin is a peer-to-peer network that enables anyone to store and retrieve data on the internet. Built-in economic incentives ensure that files are stored and retrieved reliably and continuously for the duration specified by the user.,2014,"Juan Benet, Sarah THIAM, Andreessen Horowitz, Pantera Capital, IOSG Ventures, Digital Currency Group, Union Square Ventures, GenBlock Capital, Blockchain Capital, Sequoia Capital, Fundamental Labs, Continue Capital, BlueYard Capital, Redline Labs, Winklevoss Capital, Mint Ventures, Sam Altman, Lit Protocol, Protocol Labs",,https://x.com/Filecoin,665.86 K,373,"Oct 15, 2020 - Filecoin was live on mainnet | Sep 01, 2017 - Filecoin raised $ 205 M through ICO | Aug 01, 2017 - Filecoin raised $ 52 M in Seed round","#Ethereum, #Solana, #Aleo, #Hedera, #ZetaChain, #Internet Computer / Dfinity, #Algorand, #Celo",,
GalaGALA,,0.06886,2530030308,Ethereum,https://www.rootdata.com/Projects/detail/Optimism?k=MTQwNQ%3D%3D,Ethereum L2 solution using optimistic rollup technology,"https://www.optimism.io/, https://x.com/Optimism, https://www.linkedin.com/company/optimism-foundation/, https://github.com/ethereum-optimism/, https://optimismpbc.medium.com/, https://snapshot.org/#/opcollective.eth, https://coinmarketcap.com/currencies/optimism-ethereum/, https://defillama.com/chain/Optimism",Optimism is an Ethereum Layer 2 solution that utilizes optimistic rollup technology. It drastically reduces costs and transaction times while preserving the benefits of Ethereum's security.,2018,"Karl Floersch, Jinglan Wang, Ben Jones, Mark Tyneway, Prithvi Subburaj, Ryan Wyatt, Tess Rinearson, Vivian (Wei) Tao, Amanda Jacobsen, Andreessen Horowitz, Paradigm, Coinbase Ventures, Robot Ventures, Wintermute, Nascent, HTX Ventures, IDEO CoLab Ventures, Alchemy Ventures, A.Capital","https://www.coindesk.com/business/2024/03/08/optimism-sells-89m-op-tokens-in-private-transaction/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://www.theblock.co/post/280044/delta-hardfork-results-in-fee-reduction-on-optimism-ecosystem-chains, https://www.coindesk.com/tech/2023/10/03/at-last-blockchain-developer-op-labs-delivers-fault-proofs-missing-from-core-design/, https://www.theblock.co/post/252205/optimism-selling-162-million-in-tokens-flags-imminent-transfer, https://www.theblock.co/post/233364/optimism-completes-upgrade-of-its-layer-2-network?utm_source=feedly&utm_medium=rss, https://messari.io/article/state-of-optimism-governance, https://cointelegraph.com/news/can-the-optimism-blockchain-win-the-battle-of-the-rollups, https://messari.io/article/the-value-of-optimism",,688.73 K,151,"Mar 08, 2024 - Optimism raised $ 89 M in funding round | Sep 20, 2023 - Optimism raised $ 162 M in funding round | Aug 25, 2023 - Base and Optimism Jointly Release Revenue Governance Sharing Protocol | Oct 18, 2022 - Optimism launches OP Stack, a modular component | Mar 17, 2022 - Optimism raised $ 150 M in Series B round","#Karak, #Polygon Zero, #Base, #Polygon, #Aztec Network, #StarkWare, #Arbitrum / Offchain Labs, #zkSync",0.27908006,"{'feat0': {'feat': 'MA_Ratio', 'data': [-0.0376524338269524]}, 'feat1': {'feat': 'PR_MA_Ratio_short', 'data': [0.0135806184636072]}, 'feat2': {'feat': 'Month', 'data': [12.0]}, 'feat3': {'feat': 'CDLSPINNINGTOP', 'data': [-1.0]}, 'feat4': {'feat': 'ULTOSC', 'data': [0.4949563065773602]}, 'feat5': {'feat': 'Z_score', 'data': [-0.6888727868602411]}, 'feat6': {'feat': 'PR_MA_Ratio', 'data': [0.010124868124792]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'RSI', 'data': [0.5165297986026602]}, 'feat9': {'feat': 'boll', 'data': [0.1245855237562848]}}"
The GraphGRT,,0.12275,281389717.4,Ethereum,https://www.rootdata.com/Projects/detail/Mantle%20Network?k=NTc4Mw%3D%3D,A high performance Ethereum layer-2 network with modular design,"https://www.mantle.xyz/, https://x.com/0xMantle, https://www.linkedin.com/company/0xmantle, https://t.me/mantlenetwork, https://mirror.xyz/0xMantle.eth, https://coinmarketcap.com/currencies/mantle/, https://defillama.com/chain/Mantle, https://link3.to/mantle","Mantle is a high-performance Ethereum layer-2 network built with a modular architecture that delivers low fees and high security. Builders can use Mantle's unique design to create dApps with an exceptional user experience, while also relying on Ethereum's unparalleled security. Mantle is a product of BitDAO and is governed by the $BIT community.",BitDAO,"Mark Veer, Derek Lim, Francesca Tay, Shubham Bhandari, Cooper Midroni, Pantera Capital, Dragonfly, Founders fund, The Spartan Group, Jump Capital, Kain Warwick, Alan Howard, Renzo Protocol, Lagrange, MetaCene, Lombard, GaiaNet, Blade Games, Usual, Agora, DreamOS, L3E7, BoomFi",,,766.8 K,51,"Jul 17, 2023 - Mantle Network was live on mainnet | Jan 10, 2023 - Mantle Network was live on testnet | Aug 18, 2021 - Mantle Network raised $ 356 M through IDO | Jun 16, 2021 - Mantle Network raised $ 230 M in funding round","#Eclipse, #Reya Network, #Boba Network, #Layer N, #Fraxtal, #TunaChain, #BitcoinVM, #Camp Network",0.72437364,"{'feat0': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDLMORNINGSTAR', 'data': [0.0]}, 'feat2': {'feat': 'CDLHARAMICROSS', 'data': [0.0]}, 'feat3': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat4': {'feat': 'PR_MA_Ratio_short', 'data': [0.0362682481751837]}, 'feat5': {'feat': 'Month', 'data': [12.0]}, 'feat6': {'feat': 'CDLHANGINGMAN', 'data': [0.0]}, 'feat7': {'feat': 'zsVol', 'data': [-0.1206997314377498]}, 'feat8': {'feat': 'Hourly', 'data': [0.0]}, 'feat9': {'feat': 'MA_Ratio_short', 'data': [0.0064371573660006]}}"
Gate.ioGT,,0.03052,5957429.8,,https://www.rootdata.com/Projects/detail/cryptonews24?k=MTA0NTE%3D,Crypto news aggregation platform,https://x.com/Xcryptonews24,"Cryptonews24 is an encrypted news aggregation platform that allows readers to find the latest crypto news, events, data, and indices.",2023,,,,--,--,,"#rekt, #Bitcoin.com, #Bitcoin Magazine, #Decrypt, #CoinDesk, #Blockworks, #Cointelegraph, #The Block",,
HederaHBAR,,0.03766,10296283.8,Ethereum,https://www.rootdata.com/Projects/detail/Immutable%20X?k=Mjkw,Layer 2 scaling solution for NFTs,"https://www.immutable.com/, https://x.com/Immutable, https://t.me/immutablex, https://docs.x.immutable.com/docs, https://immutablex.medium.com/, https://coinmarketcap.com/currencies/immutable-x/",Immutable X operates as the first-ever Layer 2 scaling solution for NFTs on the Ethereum blockchain. It utilizes zk rollup technology to address high gas fee and scalability issues when minting and trading NFTs.,2018,"James Ferguson, Alex Connolly, Robbie Ferguson, Coinbase Ventures, Delphi Digital, Alliance DAO, Framework Ventures, HTX Ventures, DIGITAL, Mint Ventures, Eterlast, MetaJuice, Immutable",,https://x.com/Immutable,420.07 K,1149,"Dec 22, 2023 - Immutable X completed a strategic financing | May 25, 2022 - Kongregate and Immutable X launch $40M blockchain game dev fund","#Ethernity, #Karak, #Polygon Zero, #Optimism, #Base, #Polygon, #Aztec Network, #StarkWare",0.69863814,"{'feat0': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat1': {'feat': 'CDLHANGINGMAN', 'data': [0.0]}, 'feat2': {'feat': 'CDLINVERTEDHAMMER', 'data': [0.0]}, 'feat3': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat4': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat5': {'feat': 'Hourly', 'data': [0.0]}, 'feat6': {'feat': 'MA_Ratio', 'data': [0.0133663366336638]}, 'feat7': {'feat': 'Z_score', 'data': [-0.4948990734262624]}, 'feat8': {'feat': 'RSI', 'data': [0.5870229692848982]}, 'feat9': {'feat': 'boll', 'data': [0.4999999999994177]}}"
